out	species	is_representative	representative_out	ani_to_representative	reuse_eligible
Alternaria_alternata_H13	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_H15	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_H18	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_H19	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.87	False
Alternaria_alternata_H20	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_alternata_H23	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.16	False
Alternaria_alternata_H3	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_JS-0527	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.82	False
Alternaria_alternata_JS-1623	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.8	False
Alternaria_alternata_KACC_411286	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.77	False
Alternaria_alternata_KAS5386	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.8	False
Alternaria_alternata_KAS5497	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_KAS5516	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.15	False
Alternaria_alternata_KAS5743	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_KAS6096	Alternaria alternata	True	Alternaria_alternata_KAS6096	100.0	False
Alternaria_alternata_Karbala-1	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_LG038	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.85	False
Alternaria_alternata_MOD1-FUNGI5	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.97	False
Alternaria_alternata_MPI-PUGE-AT-0064	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.15	False
Alternaria_alternata_NAP07	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.83	False
Alternaria_alternata_P02PL2	Alternaria alternata	False	Alternaria_alternata_KAS6096		False
Alternaria_alternata_P04PR2	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_PF1	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_alternata_PN1	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_alternata_PN2	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.8	False
Alternaria_alternata_RS002	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.8	False
Alternaria_alternata_RS007	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.78	False
Alternaria_alternata_RS026	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.78	False
Alternaria_alternata_RS048	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.83	False
Alternaria_alternata_RS052	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.63	False
Alternaria_alternata_RS071	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_alternata_RS102	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.61	False
Alternaria_alternata_SRC1lrK2f	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_X1	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_X11	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_X12	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_X15	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_X16	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_X6	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_alternata_X7	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_X8	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_X9	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_XJAU_2021	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_alternata_XJaa	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.87	False
Alternaria_alternata_Y-2	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Y1	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Y10	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Y12	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Y13	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Y14	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Y15	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Y16	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.15	False
Alternaria_alternata_Y17	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Y2	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Y3	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Y4	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_alternata_Y7	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.83	False
Alternaria_alternata_Y784-BC03	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.83	False
Alternaria_alternata_Y8	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.84	False
Alternaria_alternata_Y9	Alternaria alternata	False	Alternaria_alternata_KAS6096		False
Alternaria_alternata_Z1	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Z10	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Z11	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Z12	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Z13	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Z14	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Z15	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.15	False
Alternaria_alternata_Z2	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.15	False
Alternaria_alternata_Z3	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.83	False
Alternaria_alternata_Z4	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Z5	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Z6	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Z7	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_Z8	Alternaria alternata	False	Alternaria_alternata_KAS6096	97.01	False
Alternaria_alternata_hznu325	Alternaria alternata	False	Alternaria_alternata_KAS6096	96.86	False
Alternaria_angustiovoidea_FKII-L2-CM-DRAB1	Alternaria angustiovoidea	False	Alternaria_angustiovoidea_FKII-L8-BK-P2B	98.57	False
Alternaria_angustiovoidea_FKII-L8-BK-P2B	Alternaria angustiovoidea	True	Alternaria_angustiovoidea_FKII-L8-BK-P2B	100.0	False
Alternaria_arborescens_66744	Alternaria arborescens	False	Alternaria_arborescens_FERA_675	99.14	True
Alternaria_arborescens_DET2008	Alternaria arborescens	False	Alternaria_arborescens_FERA_675	98.5	False
Alternaria_arborescens_DET2035	Alternaria arborescens	False	Alternaria_arborescens_FERA_675	97.41	False
Alternaria_arborescens_EGS_39-128	Alternaria arborescens	False	Alternaria_arborescens_FERA_675	99.18	True
Alternaria_arborescens_FERA_675	Alternaria arborescens	True	Alternaria_arborescens_FERA_675	100.0	False
Alternaria_arborescens_KAS5321	Alternaria arborescens	False	Alternaria_arborescens_FERA_675	97.87	False
Alternaria_arborescens_MOD1-FUNGI6	Alternaria arborescens	False	Alternaria_arborescens_FERA_675	99.09	True
Alternaria_arborescens_NRRL_20593	Alternaria arborescens	False	Alternaria_arborescens_FERA_675	99.17	True
Alternaria_arborescens_RGR_97.0013	Alternaria arborescens	False	Alternaria_arborescens_FERA_675	99.13	True
Alternaria_arborescens_RGR_97.0016	Alternaria arborescens	False	Alternaria_arborescens_FERA_675	99.23	True
Alternaria_arbusti_BMP_1465	Alternaria arbusti	True	Alternaria_arbusti_BMP_1465	100.0	False
Alternaria_arbusti_DAOMC238834	Alternaria arbusti	False	Alternaria_arbusti_BMP_1465	100.0	True
Alternaria_atra_CS162	Alternaria atra	False	Alternaria_atra_T003	99.13	True
Alternaria_atra_MOD1-FUNGI7	Alternaria atra	False	Alternaria_atra_T003	99.48	True
Alternaria_atra_T001	Alternaria atra	False	Alternaria_atra_T003	99.93	True
Alternaria_atra_T003	Alternaria atra	True	Alternaria_atra_T003	100.0	False
Alternaria_brassicae_BTP	Alternaria brassicae	False	Alternaria_brassicae_LPND	84.47	False
Alternaria_brassicae_J3	Alternaria brassicae	False	Alternaria_brassicae_LPND	99.9	True
Alternaria_brassicae_LPND	Alternaria brassicae	True	Alternaria_brassicae_LPND	100.0	False
Alternaria_brassicae_LPTD3	Alternaria brassicae	False	Alternaria_brassicae_LPND	84.28	False
Alternaria_brassicae_PNT	Alternaria brassicae	False	Alternaria_brassicae_LPND	84.52	False
Alternaria_brassicicola	Alternaria brassicicola	True	Alternaria_brassicicola	100.0	False
Alternaria_brassicicola_ATCC_96836	Alternaria brassicicola	False	Alternaria_brassicicola	99.83	True
Alternaria_brassicicola_Abra43	Alternaria brassicicola	False	Alternaria_brassicicola	99.99	True
Alternaria_brassicicola_Altbr1	Alternaria brassicicola	False	Alternaria_brassicicola		False
Alternaria_brassicicola_DSM_62008	Alternaria brassicicola	False	Alternaria_brassicicola	99.78	True
Alternaria_brassicicola_W_1	Alternaria brassicicola	False	Alternaria_brassicicola	99.83	True
Alternaria_burnsii	Alternaria burnsii	False	Alternaria_burnsii_CBS107.38	99.57	True
Alternaria_burnsii_CBS107.38	Alternaria burnsii	True	Alternaria_burnsii_CBS107.38	100.0	False
Alternaria_burnsii_HNLF-44	Alternaria burnsii	False	Alternaria_burnsii_CBS107.38	98.27	False
Alternaria_conjuncta_BMP_0040	Alternaria conjuncta	False	Alternaria_conjuncta_DAOMC195272	100.0	True
Alternaria_conjuncta_DAOMC195272	Alternaria conjuncta	True	Alternaria_conjuncta_DAOMC195272	100.0	False
Alternaria_dauci_A2016	Alternaria dauci	True	Alternaria_dauci_A2016	100.0	False
Alternaria_dauci_CALB1	Alternaria dauci	False	Alternaria_dauci_A2016	99.22	True
Alternaria_ethzedia_BMP_0044	Alternaria ethzedia	True	Alternaria_ethzedia_BMP_0044	100.0	False
Alternaria_ethzedia_DAOMC238797	Alternaria ethzedia	False	Alternaria_ethzedia_BMP_0044	99.99	True
Alternaria_gaisen_D10	Alternaria gaisen	False	Alternaria_gaisen_FERA_650	99.32	True
Alternaria_gaisen_D11	Alternaria gaisen	False	Alternaria_gaisen_FERA_650	99.28	True
Alternaria_gaisen_D5	Alternaria gaisen	False	Alternaria_gaisen_FERA_650	99.32	True
