query_asmid	query_species_in	sketch_status	n_hits_reported	n_significant_hits	best_ani_pct	best_ref_asmid	best_ref_genus	needs_review
GCA_029300015.1_ASM2930001v1	Ascomycota sp.	existing	10	10	94.0255	GCA_022701375.1_ASM2270137v1	Trichothecium	False
GCA_057558295.1_FM_MARS-14.71_MAG_AntObs_1.0	Ascomycota sp. Antarctolithica obscura	existing	10	10	99.2923	GCA_057558075.1_FM_MARS-17.30_MAG_AntObs_1.0		False
GCA_057558075.1_FM_MARS-17.30_MAG_AntObs_1.0	Ascomycota sp. Antarctolithica obscura	existing	10	10	99.4967	GCA_057558195.1_FM_MARS-52.25_MAG_AntObs_1.0		False
GCA_057558275.1_FM_MARS-19.38_MAG_AntObs_1.0	Ascomycota sp. Antarctolithica obscura	existing	10	10	99.0918	GCA_057558075.1_FM_MARS-17.30_MAG_AntObs_1.0		False
GCA_057558195.1_FM_MARS-52.25_MAG_AntObs_1.0	Ascomycota sp. Antarctolithica obscura	existing	10	10	99.4967	GCA_057558075.1_FM_MARS-17.30_MAG_AntObs_1.0		False
GCA_057558155.1_FM_MARS-55.28_MAG_AntObs_1.0	Ascomycota sp. Antarctolithica obscura	existing	10	10	99.4628	GCA_057558045.1_FM_MARS-82.9_MAG_AntObs_1.0		False
GCA_057558035.1_FM_MARS-62.17_MAG_AntObs_1.0	Ascomycota sp. Antarctolithica obscura	existing	10	10	98.9324	GCA_057558045.1_FM_MARS-82.9_MAG_AntObs_1.0		False
GCA_057558045.1_FM_MARS-82.9_MAG_AntObs_1.0	Ascomycota sp. Antarctolithica obscura	existing	10	10	99.4758	GCA_057558075.1_FM_MARS-17.30_MAG_AntObs_1.0		False
GCA_057558165.1_FM_MARS-9.1_MAG_AntObs_1.0	Ascomycota sp. Antarctolithica obscura	existing	10	10	99.1871	GCA_057558075.1_FM_MARS-17.30_MAG_AntObs_1.0		False
GCA_029299965.1_ASM2929996v1	Aspergillaceae sp.	built	10	10	96.9763	GCF_028827035.1_ASM2882703v1	Penicillium	False
GCA_003004485.1_ASM300448v1	Aspergillaceae sp. MA 6039	built	10	10	97.0454	GCA_003004525.2_ASM300452v2	Aspergillus	False
GCA_020744175.1_Olipa1	Auriculariales sp. MPI-PUGE-AT-0066	built	10	10	68.7048	GCA_019190125.1_ASM1919012v1	Rhodotorula	False
GCA_964254815.1_public_SRR14722098_metabat2_bin.9	Baeomycetales sp.	built	10	10	86.6433	GCA_964257415.1_public_SRR14721959_metabat2_bin.2	Ionaspis	False
GCA_041722455.1_DLT08-010	Boletaceae sp. DLT08-010	built	10	10	90.3154	GCA_038089655.1_NY796215-Imleria-badia	Imleria	False
GCA_041722295.1_MAD-m10-Boletaceae	Boletaceae sp. KM206666	built	10	10	80.7742	GCA_038091165.1_MICH24411-Boletus-pulcherrimus	Rubroboletus	False
GCA_041722255.1_MAD-m38-Xerocomus-sp	Boletaceae sp. KM206700	built	10	10	94.3736	GCA_041722135.1_MAD-m73-Boletellus-sp		False
GCA_041722215.1_MAD-m47-Boletaceae	Boletaceae sp. KM206711	built	10	10	80.9307	GCA_041722195.1_MAD-m49-Boletaceae		False
GCA_041722195.1_MAD-m49-Boletaceae	Boletaceae sp. KM206713	built	10	10	80.9307	GCA_041722215.1_MAD-m47-Boletaceae		False
GCA_041722055.1_MAD-m75-Boletellus-sp	Boletaceae sp. KM206733	built	10	10	89.9364	GCA_041722255.1_MAD-m38-Xerocomus-sp		False
GCA_041722135.1_MAD-m73-Boletellus-sp	Boletaceae sp. KM206735	built	10	10	96.2614	GCA_041722155.1_MAD-m63-Boletellus-sp		False
GCA_041722175.1_MAD-m71-Xerocomus-sp	Boletaceae sp. KM206737	built	10	10	84.3627	GCA_041722255.1_MAD-m38-Xerocomus-sp		False
GCA_041722155.1_MAD-m63-Boletellus-sp	Boletaceae sp. KM206743	built	10	10	96.2614	GCA_041722135.1_MAD-m73-Boletellus-sp		False
GCA_041722575.1_CTN08-007-Boletaceae	Boletaceae sp. TRTC157208	built	10	10	83.7063	GCA_041722895.1_BD667-Xdrocomus-sp8	Xerocomus	False
GCA_041722635.1_CTN08-029	Boletaceae sp. TRTC157229	built	10	10	80.3295	GCA_041721755.1_SWK373-Phylloporus-sp	Phylloporus	False
GCA_041722495.1_CTN08-049-Leccinum-sp	Boletaceae sp. TRTC157249	built	10	10	78.6675	GCA_038089755.1_NY577517-Leccinum-rugosiceps	Leccinellum	False
GCA_041722475.1_CTN08-051-Boletaceae	Boletaceae sp. TRTC157251	built	10	10	77.4410	GCA_038094095.1_BD921Chile-Boletus-putidus	Boletus	False
GCA_041722115.1_MU-11-Boletaceae	Boletaceae sp. TRTC163558	built	10	10	86.4466	GCA_038090955.1_MICH4995-Boletellus-intermedius	Xerocomellus	False
GCA_041721915.1_SWK177-Boletaceae	Boletaceae sp. TRTC168347	built	10	10	83.8997	GCA_038092715.1_MICH10047-Boletus-smithii	Boletus	False
GCA_041721795.1_SWK351-Boletaceae	Boletaceae sp. TRTC168532	built	10	10	81.3708	GCA_038092535.1_MICH10054-Boletus-subilludens	Xerocomus	False
GCA_041721715.1_SWK385-Boletaceae	Boletaceae sp. TRTC168571	built	10	10	89.2424	GCA_039955225.1_Aver_NBRC115547_1.0	Aspergillus	False
GCA_041721695.1_SWK386-Pulchroboletus-cf	Boletaceae sp. TRTC168574	built	10	10	81.1314	GCA_003316065.1_ASM331606v1	Retiboletus	False
GCA_041722595.1_BD890-Emersons-bolete	Boletaceae sp. UT-M0000358	built	10	10	81.0820	GCA_038094095.1_BD921Chile-Boletus-putidus	Boletus	False
GCA_038090395.1_NY1393526-Hemioporus-cooloolae	Boletales sp. KT-2023a	built	10	10	90.2899	GCA_038089675.1_NY815477-Hemioporus-ivoryi		False
GCA_038089675.1_NY815477-Hemioporus-ivoryi	Boletales sp. KT-2023b	built	10	10	90.2899	GCA_038090395.1_NY1393526-Hemioporus-cooloolae		False
GCA_029302275.1_ASM2930227v1	Brachybasidiaceae sp.	built	10	10	70.8553	GCA_023273805.1_ASM2327380v1	Exobasidium	False
GCA_030566955.1_ASM3056695v1	Candida anutae	built	10	10	72.0022	GCA_030565005.1_ASM3056500v1	Scheffersomyces	False
GCA_030581555.1_ASM3058155v1	Candida argentea	built	10	10	69.9006	GCA_030580355.1_ASM3058035v1		False
GCA_030674335.1_ASM3067433v1	Candida ascalaphidarum	built	10	10	73.6978	GCA_008065175.1_ASM806517v1	Metschnikowia	False
GCA_030571295.1_ASM3057129v1	Candida citri	built	10	10	77.9511	GCA_030568875.1_ASM3056887v1	Sungouiella	False
GCA_003707735.2_ASM370773v2	Candida freyschussii	built	10	10	74.1507	GCA_030572555.1_ASM3057255v1		False
GCA_030572315.1_ASM3057231v1	Candida glucosophila	built	10	10	72.6371	GCA_000697015.1_CunEleB9769-1.0	Cunninghamella	False
GCA_058218595.1_ASM5821859v1	Candida mesenterica	existing	10	10	99.9957	GCA_058218575.1_ASM5821857v1		False
GCA_058218575.1_ASM5821857v1	Candida mesenterica	existing	10	10	99.9957	GCA_058218595.1_ASM5821859v1		False
GCA_030559045.1_ASM3055904v1	Candida mesenterica	existing	10	10	99.9144	GCA_058218575.1_ASM5821857v1		False
GCA_015708695.1_ASM1570869v1	Candida mesenterica	existing	10	10	99.8572	GCA_058218595.1_ASM5821859v1		False
GCA_030579995.1_ASM3057999v1	Candida sp.	existing	10	10	89.1930	GCA_030571015.1_ASM3057101v1	Ogataea	False
GCA_030570575.1_ASM3057057v1	Candida sp.	existing	10	10	92.4869	GCA_050613735.1_ASM5061373v1	Starmera	False
GCA_030567185.1_ASM3056718v1	Candida sp.	existing	10	10	82.7365	GCA_003707745.2_ASM370774v2	Williopsis	False
GCA_030574675.1_ASM3057467v1	Candida sp.	existing	10	10	99.0375	GCA_060251805.1_ASM6025180v1	Wickerhamomyces	False
GCA_030563385.1_ASM3056338v1	Candida sp.	existing	10	10	80.2708	GCA_030568155.1_ASM3056815v1	Wenyingozyma	False
GCA_030567915.1_ASM3056791v1	Candida sp.	existing	10	10	76.9890	GCA_030568155.1_ASM3056815v1	Wenyingozyma	False
GCA_030572555.1_ASM3057255v1	Candida sp.	existing	10	10	85.8347	GCA_030567175.1_ASM3056717v1	Williopsis	False
GCA_030580075.1_ASM3058007v1	Candida sp.	existing	10	10	80.3874	GCA_030557985.1_ASM3055798v1	Millerago	False
GCA_030557335.1_ASM3055733v1	Candida sp.	existing	10	10	91.0318	GCA_030557345.1_ASM3055734v1	Petasospora	False
GCA_030567895.1_ASM3056789v1	Candida sp.	existing	10	10	83.2624	GCA_030567875.1_ASM3056787v1	Wenyingozyma	False
GCA_030567955.1_ASM3056795v1	Candida sp.	existing	10	10	85.7453	GCA_003706095.2_ASM370609v2	Ogataea	False
GCA_030564165.1_ASM3056416v1	Candida sp.	existing	10	10	84.9367	GCA_030571115.1_ASM3057111v1	Wickerhamomyces	False
GCA_030567155.1_ASM3056715v1	Candida sp.	existing	10	10	78.5837	GCA_030567185.1_ASM3056718v1		False
GCA_030705185.1_ASM3070518v1	Candida sp.	existing	10	10	73.1970	GCA_030568875.1_ASM3056887v1	Sungouiella	False
GCA_030571215.1_ASM3057121v1	Candida sp.	existing	10	10	74.3619	GCA_030558275.1_ASM3055827v1	Chernovozyma	False
GCA_030407195.1_ASM3040719v1	Candida tunisiensis	built	10	10	70.8553	GCA_029299085.1_OphIps_1.0	Ophiostoma	False
GCA_000372705.1_YLSCbra_1.0	Cerataphis brasiliensis yeast-like symbiont	built	10	10	89.4736	GCA_000758425.1_ASM75842v1		False
GCA_041722615.1_BTNG35	cf. Tylopilus sp. TRTC175157	built	10	10	77.4410	GCA_026108285.1_ASM2610828v1	Diplocarpon	False
GCA_057978885.1_Crustfungi10_Chaeto	Chaetomiaceae sp. 537B	built	10	10	97.7216	GCA_023627195.1_ASM2362719v1	Penicillium	False
GCA_023628455.1_ASM2362845v1	Chaetomiaceae sp. B2702	built	10	10	79.2158	GCA_023628475.1_ASM2362847v1		False
GCA_023628475.1_ASM2362847v1	Chaetomiaceae sp. PF1801	built	10	10	83.0721	GCA_033575675.1_Thihy1	Parathielavia	False
GCA_023628495.1_ASM2362849v1	Chaetomiaceae sp. PT3202	built	10	10	99.7167	GCA_023628555.1_ASM2362855v1		False
GCA_023628425.1_ASM2362842v1	Chaetomiaceae sp. PYS4301M	built	10	10	82.7365	GCA_056776735.1_ASM5677673v1	Humicola	False
GCA_023628555.1_ASM2362855v1	Chaetomiaceae sp. R4402	built	10	10	99.7167	GCA_023628495.1_ASM2362849v1		False
GCA_964255365.1_public_SRR14722083_concoct_bin.1	Chaetothyriales sp.	built	10	10	73.6978	GCA_016109495.1_ASM1610949v1	Phialophora	False
GCA_049996355.1_ASM4999635v1	Chaetothyriales sp. BF4	built	10	10	69.3402	GCA_003709845.1_ASM370984v1		False
GCA_003709865.1_ASM370986v1	Chaetothyriales sp. CBS 132003	built	10	10	86.5536	GCA_003709845.1_ASM370984v1		False
GCA_003709845.1_ASM370984v1	Chaetothyriales sp. CBS 134916	built	10	10	86.5536	GCA_003709865.1_ASM370986v1		False
GCA_003693665.1_ASM369366v1	Chaetothyriales sp. CBS 134920	built	10	10	86.7745	GCA_003709825.1_ASM370982v1		False
GCA_003709825.1_ASM370982v1	Chaetothyriales sp. CBS 135597	built	10	10	86.7745	GCA_003693665.1_ASM369366v1		False
GCA_027604305.1_ASM2760430v1	Chytridiales sp. JEL 0842	built	10	10	70.4019	GCA_001599055.1_JCM_6961_assembly_v001	Thielaviopsis	False
GCA_023347005.1_ASM2334700v1	Chytridiomycetes sp.	built	10	10	66.0414	GCA_023212605.1_ASM2321260v1	Moesziomyces	False
GCA_023347045.1_ASM2334704v1	Chytridiomycetes sp.	built	10	10	62.7417	GCA_018344405.1_ASM1834440v1	Hansenula	False
GCA_024708745.1_USC_Clado_1.0	Cladosporiales sp.	built	10	10	91.0103	GCA_059336645.1_ASM5933664v1	Alternaria	False
GCA_904855205.1_Cyphbasidiales_sp_Tagirdzhanova-0007_MAG	Cyphobasidiales sp. Tagirdzhanova-0007	built	10	10	67.9713	GCA_037951295.1_ASM3795129v1	Ogataea	False
GCA_003351005.1_ASM335100v1	Cystobasidiaceae sp. HBUAS51001	built	10	10	69.3402	GCA_019775285.1_ASM1977528v1	Cystobasidium	False
GCA_964257715.1_public_SRR7232212_concoct_bin.12	Cystobasidiomycetes sp.	built	10	10	67.9713	GCA_030580275.1_ASM3058027v1	Groenewaldozyma	False
GCA_051047955.1_ASM5104795v1	Cystobasidiomycetes sp. EMM_F5	built	10	10	68.7048	GCA_008802785.1_ASM880278v1	Symmetrospora	False
GCA_023625755.1_ASM2362575v1	Debaryomycetaceae sp. 2NP920	built	10	10	99.9990	GCA_023625715.1_ASM2362571v1		False
GCA_023625695.1_ASM2362569v1	Debaryomycetaceae sp. 2NP930A	built	10	10	99.9971	GCA_023625675.1_ASM2362567v1	Kurtzmaniella	False
GCA_023625775.1_ASM2362577v1	Debaryomycetaceae sp. 2NR913A	built	10	10	99.9852	GCA_023625755.1_ASM2362575v1		False
GCA_023625795.1_ASM2362579v1	Debaryomycetaceae sp. 2NR914	built	10	10	74.1507	GCA_054123655.1_ASM5412365v1	Sporendonema	False
GCA_031081755.1_CAB1570	Debaryomycetaceae sp. CAB 1570	built	10	10	94.8178	GCA_031081905.1_ZIM2471		False
GCA_032598715.1_ASM3259871v1	Debaryomycetaceae sp. JAC-2022a	built	10	10	99.9066	GCA_023625675.1_ASM2362567v1	Kurtzmaniella	False
GCA_023625715.1_ASM2362571v1	Debaryomycetaceae sp. NP9010	built	10	10	99.9998	GCA_023625635.1_ASM2362563v1	Kurtzmaniella	False
GCA_031081785.1_UD68_643	Debaryomycetaceae sp. UCDFST 68-643	built	10	10	99.7319	GCA_031081845.1_UD68_768_1		False
GCA_031081845.1_UD68_768_1	Debaryomycetaceae sp. UCDFST 68-768.1	built	10	10	99.7319	GCA_031081785.1_UD68_643		False
GCA_023625735.1_ASM2362573v1	Debaryomycetaceae sp. Y9007B	built	10	10	99.9998	GCA_023625635.1_ASM2362563v1	Kurtzmaniella	False
GCA_023625815.1_ASM2362581v1	Debaryomycetaceae sp. Y9007B-2	built	10	10	89.0754	GCA_014839905.1_ASM1483990v1	Aphanoascus	False
GCA_030580355.1_ASM3058035v1	Debaryomycetaceae sp. yHKB357	built	10	10	69.9006	GCA_030581555.1_ASM3058155v1		False
GCA_031081905.1_ZIM2471	Debaryomycetaceae sp. ZIM 2471	built	10	10	94.8178	GCA_031081755.1_CAB1570		False
GCA_057978275.1_Crustfungi11_Didyme	Didymellaceae sp. 537F	built	10	10	84.9367	GCF_010093625.1_Macan1	Macroventuria	False
GCA_032595095.1_ASM3259509v1	Didymellaceae sp. YAFEF048	built	10	10	80.4447	GCA_015266435.1_ASM1526643v1	Epicoccum	False
GCA_964255855.1_public_SRR14722213_metabat2_bin.1	Dothideomycetes sp.	built	10	10	71.6498	GCA_049996175.1_ASM4999617v1		False
GCA_051311975.2_ASM5131197v2	Dothideomycetes sp. EMM_F3	built	10	10	72.6371	GCA_054600455.1_NU459_1.0		False
GCA_054600495.1_NU197_1.0	Dothideomycetes sp. NU197	built	10	10	77.4410	GCA_963674455.1_LECACI7	Lecanosticta	False
GCA_027943355.1_NU200_1.0	Dothideomycetes sp. NU200	built	10	10	99.0770	GCA_030412615.1_ASM3041261v1	Neodothiora	False
GCA_026013035.2_NU30_1.0	Dothideomycetes sp. NU30	built	10	10	76.2180	GCA_004917485.1_ASM491748v1	Aureobasidium	False
GCA_054600615.1_NU332_1.0	Dothideomycetes sp. NU332	built	10	10	75.9302	GCA_054600495.1_NU197_1.0		False
GCA_054600575.1_NU457_1.0	Dothideomycetes sp. NU457	built	10	10	72.0022	GCA_004917595.1_ASM491759v1	Aureobasidium	False
GCA_054600455.1_NU459_1.0	Dothideomycetes sp. NU459	built	10	10	76.7457	GCA_055774095.1_ASM5577409v1	Sphaerulina	False
GCA_000836255.1_fungal_sp._No.11243_ver1.0	Dothideomycetidae sp. 11243	built	10	10	70.4019	GCA_007556535.1_ASM755653v1	Elsinoe	False
GCA_986194475.1_ilChaFerr1.microsporidian_1.1	Enterocytozoonidae sp. gmOTU24 Ox000445	built	10	10	64.6720	GCA_030563805.1_ASM3056380v1	Ruyongia	False
GCA_985568305.1_iyOphElle1.microsporidian_1.1	Enterocytozoonidae sp. gmOTU25 NHMUK014425822	built	10	10	66.0414	GCA_002549865.1_AtyMaFurf	Malassezia	False
GCA_985568325.1_ihTemGrac1.microsporidian_1.1_alternate_haplotype	Enterocytozoonidae sp. gmOTU26 Ox002348	built	10	10	67.1035	GCA_056153265.1_UG_MB_1.1		False
GCA_985805835.1_idNeuQuad1.microsporidian_1.1	Enterocytozoonidae sp. gmOTU27 Ox002306	built	10	10	64.6720	GCA_056153265.1_UG_MB_1.1		False
GCA_023625935.1_ASM2362593v1	Eurotiales sp. R13A2	built	10	10	99.4395	GCA_023625835.1_ASM2362583v1	Talaromyces	False
GCA_023625855.1_ASM2362585v1	Eurotiales sp. R3503	built	10	10	99.9789	GCA_023625835.1_ASM2362583v1	Talaromyces	False
GCA_964255605.1_public_SRR14722135_concoct_merged.1	Eurotiomycetes sp.	existing	10	10	70.4019	GCA_022814105.1_ASM2281410v1	Ptychographa	False
GCA_002916945.1_ASM291694v1	Eurotiomycetes sp.	existing	10	10	95.0990	GCA_035927085.1_ASM3592708v1	Lithohypha	False
GCA_002917005.1_ASM291700v1	Eurotiomycetes sp.	existing	10	10	94.7326	GCA_002319055.1_ASM231905v1	Knufia	False
GCA_002917015.1_ASM291701v1	Eurotiomycetes sp.	existing	10	10	71.2691	GCA_003693665.1_ASM369366v1		False
GCA_023347065.1_ASM2334706v1	fungal sp.	built	10	10	64.6720	GCA_001664025.1_Hanva1_1	Hanseniaspora	False
GCA_054392365.1_ASM5439236v1	fungal sp. IPV F-433	built	10	10	79.7729	GCA_033297235.1_Thian1	Trichocladium	False
GCA_000292665.1_ASM29266v1	Helotiales sp. EF0021	built	10	10	74.1507	GCA_003988865.1_ASM398886v1	Phialocephala	False
GCA_002554605.1_Helotiales_sp._F229_1.0	Helotiales sp. F229	built	10	10	82.3748	GCA_003073865.1_Cadsp1	Cadophora	False
GCA_029293655.1_ASM2929365v1	Herpotrichiellaceae sp.	existing	10	10	88.9281	GCA_029293645.1_ASM2929364v1		False
GCA_029293605.1_ASM2929360v1	Herpotrichiellaceae sp.	existing	10	10	89.7732	GCA_029293645.1_ASM2929364v1		False
GCA_029293295.1_ASM2929329v1	Herpotrichiellaceae sp.	existing	10	10	91.1425	GCA_029293375.1_ASM2929337v1		False
GCA_029293375.1_ASM2929337v1	Herpotrichiellaceae sp.	existing	10	10	91.1425	GCA_029293295.1_ASM2929329v1		False
GCA_029293275.1_ASM2929327v1	Herpotrichiellaceae sp.	existing	10	10	88.3139	GCA_029293295.1_ASM2929329v1		False
GCA_049996315.1_ASM4999631v1	Herpotrichiellaceae sp. BF7	built	10	10	73.4540	GCA_016109495.1_ASM1610949v1	Phialophora	False
GCA_049996295.1_ASM4999629v1	Herpotrichiellaceae sp. BF8	built	10	10	84.8496	GCA_030247875.1_UCR_TK_41	Cladophialophora	False
GCA_000315175.1_Herpo1.0	Herpotrichiellaceae sp. UM238	built	10	10	71.2691	GCF_036327395.1_ASM3632739v1	Knufia	False
GCA_029290895.1_ASM2929089v1	Hypocreaceae sp.	existing	10	10	99.2649	GCA_048182565.1_ASM4818256v1	Trichoderma	False
GCA_029290855.1_ASM2929085v1	Hypocreaceae sp.	existing	10	10	94.0645	GCA_048182565.1_ASM4818256v1	Trichoderma	False
GCA_029290815.1_ASM2929081v1	Hypocreaceae sp.	existing	10	10	96.5931	GCA_049345875.1_ASM4934587v1	Trichoderma	False
GCA_964026325.1_ERR7163067_concoct_90_euk	Hypocreales sp.	existing	10	10	99.2811	GCA_051528495.1_YNP90	Simplicillium	False
GCA_029295655.1_ASM2929565v1	Hypocreales sp.	existing	10	10	93.0994	GCA_029295265.1_ASM2929526v1		False
GCA_029290695.1_ASM2929069v1	Hypocreales sp.	existing	10	10	69.9006	GCA_001600555.1_JCM_11844_assembly_v001	Albophoma	False
GCA_051170975.1_iisc_KLYLS	Hypocreales sp. KLYLS	built	10	10	96.5797	GCA_058369715.1_StYLS		False
GCA_033060795.1_pgTrit_morethan500	Hypocreales sp. ML197-S3	built	10	10	99.7775	GCA_039700845.1_ASM3970084v1	Alternaria	False
GCA_002939055.1_ASM293905v1	Hypocreales sp. Mo6-1	built	10	10	82.8398	GCA_051528675.1_YNP81	Ophiocordyceps	False
GCA_040955585.1_ASM4095558v1	Hypocreales sp. O35	built	10	10	73.4540	GCA_002991585.1_ASM299158v1	Ilyonectria	False
GCA_058369715.1_StYLS	Hypocreales sp. StYLS	built	10	10	96.5797	GCA_051170975.1_iisc_KLYLS		False
GCA_027569635.1_ASM2756963v1	Lasiosphaeriaceae sp. G1095	built	10	10	79.6396	GCA_033439775.1_Poddi1	Podospora	False
GCA_964254455.1_public_SRR14722160_concoct_bin.3	Lecanorales sp.	built	10	10	77.9511	GCA_033220425.1_Lene_EWU_01	Lepraria	False
GCA_937857895.1_SRR13685132_bin.23_CONCOCT_v1.1_MAG	Lecanoromycetes sp.	built	10	10	99.8657	GCA_964256505.1_public_SRR14721987_metabat2_bin.1	Lecanora	False
GCA_035521555.1_Uapishka_2	Lecanoromycetidae sp. Uapishka_2	built	10	10	69.3402	GCA_022814085.1_ASM2281408v1	Puttea	False
GCA_964256305.1_public_SRR14722188_metabat2_bin.28	leotiomyceta sp.	built	10	10	76.2180	GCA_964256245.1_public_SRR14722176_concoct_bin.30		False
GCA_043791855.1_ASM4379185v1	Leotiomycetes sp. Styx10C10m-37	built	10	10	69.3402	GCA_035926935.1_ASM3592693v1	Lithohypha	False
GCA_964255695.1_public_SRR14722165_metabat2_bin.16	Leprocaulales sp.	built	10	10	67.9713	GCA_964257295.1_public_SRR14721974_metabat2_bin.1	Hypotrachyna	False
GCA_964255385.1_public_SRR14722086_metabat2_bin.14	Lichinales sp.	built	10	10	69.3402	GCA_000223175.2_ClPasp_1.0	Claviceps	False
GCA_046254935.1_ASM4625493v1	Lobulomycetales sp.	built	10	10	67.1035	GCA_000347475.1_Ppaxilli_v.1.0	Penicillium	False
GCA_003709005.1_ASM370900v1	Magnaporthales sp. P1609	built	10	10	99.9683	GCA_041721605.1_FAFU-Ppen-JC-1-v1.0	Pyricularia	False
GCA_963379275.1_SMGC_7566_bin.1_MetaWRAP_v1.2.1_MAG	Malasseziomycetes sp.	built	10	10	74.3619	GCA_001600795.1_JCM_11963_assembly_v001	Malassezia	False
