query_asmid	query_species_in	rank	ref_asmid	ref_species	ref_genus	ref_family	ref_order	ref_class	ref_subclass	ref_phylum	ref_subphylum	ani_pct	mash_pval	shared_hashes	significant
GCA_041722675.1_BD885	aff. Porphyrellus sp. UT-M0000367	1	GCA_041722655.1_BD845-Porphyrellus-aff-excedens	Porphyrellus sp. aff. excedens UT-M0000382	Porphyrellus	Boletaceae	Boletales	Agaricomycetes		Basidiomycota		81.9413	0	114/10000	True
GCA_041722675.1_BD885	aff. Porphyrellus sp. UT-M0000367	2	GCA_038091315.1_MICH12342-Tylopilus-cyaneotinctus	Porphyrellus cyaneotinctus	Porphyrellus	Boletaceae	Boletales	Agaricomycetes		Basidiomycota		81.4633	6.24795e-301	103/10000	True
GCA_041722675.1_BD885	aff. Porphyrellus sp. UT-M0000367	3	GCA_038090535.1_NY1034447-Tylopilus-alboater	Tylopilus alboater	Tylopilus	Boletaceae	Boletales	Agaricomycetes		Basidiomycota		79.7729	4.31794e-199	72/10000	True
GCA_041722675.1_BD885	aff. Porphyrellus sp. UT-M0000367	4	GCA_038090955.1_MICH4995-Boletellus-intermedius	Xerocomellus intermedius	Xerocomellus	Boletaceae	Boletales	Agaricomycetes		Basidiomycota		79.7729	1.20521e-205	72/10000	True
GCA_041722675.1_BD885	aff. Porphyrellus sp. UT-M0000367	5	GCA_041722795.1_BD716-Tylopilus-sp	Tylopilus sp. UT-M0000054	Tylopilus	Boletaceae	Boletales	Agaricomycetes		Basidiomycota		79.7729	4.53819e-203	72/10000	True
GCA_041722675.1_BD885	aff. Porphyrellus sp. UT-M0000367	6	GCA_041722915.1_BD655-Tylopilus-cordonbleu-nom-prov	aff. Porphyrellus sp. UT-M0000030		Boletaceae	Boletales	Agaricomycetes		Basidiomycota		79.7067	7.0068e-193	71/10000	True
GCA_041722675.1_BD885	aff. Porphyrellus sp. UT-M0000367	7	GCA_038094095.1_BD921Chile-Boletus-putidus	Boletus putidus	Boletus	Boletaceae	Boletales	Agaricomycetes		Basidiomycota		79.0655	1.91743e-172	62/10000	True
GCA_041722675.1_BD885	aff. Porphyrellus sp. UT-M0000367	8	GCA_038089495.1_PAM-Xerocomus-dryophilus	Xerocomellus dryophilus	Xerocomellus	Boletaceae	Boletales	Agaricomycetes		Basidiomycota		78.9886	1.71946e-167	61/10000	True
GCA_041722675.1_BD885	aff. Porphyrellus sp. UT-M0000367	9	GCA_038093355.1_MICH10006-Boletus-calvinii	Boletus calvinii	Boletus	Boletaceae	Boletales	Agaricomycetes		Basidiomycota		78.7498	6.75347e-162	58/10000	True
GCA_041722675.1_BD885	aff. Porphyrellus sp. UT-M0000367	10	GCA_015039435.1_Xerba1	Imleria badia	Imleria	Boletaceae	Boletales	Agaricomycetes		Basidiomycota		78.5837	7.85945e-152	56/10000	True
GCA_002718315.1_ASM271831v1	Agaricales sp. HM26-F1	1	GCA_037041595.1_ASM3704159v1	Lodderomyces elongisporus	Lodderomyces	Debaryomycetaceae	Serinales	Pichiomycetes		Ascomycota		67.9713	1.05461e-13	6/10000	True
GCA_002718315.1_ASM271831v1	Agaricales sp. HM26-F1	2	GCA_037042335.1_ASM3704233v1	Lodderomyces elongisporus	Lodderomyces	Debaryomycetaceae	Serinales	Pichiomycetes		Ascomycota		67.9713	1.5948e-13	6/10000	True
GCA_002718315.1_ASM271831v1	Agaricales sp. HM26-F1	3	GCA_041721695.1_SWK386-Pulchroboletus-cf	Boletaceae sp. TRTC168574		Boletaceae	Boletales	Agaricomycetes		Basidiomycota		67.9713	1.54825e-12	6/10000	True
GCA_002718315.1_ASM271831v1	Agaricales sp. HM26-F1	4	GCA_051998125.1_ASM5199812v1	Gymnopilus sp. ZRL20210269D	Gymnopilus	Galerinaceae	Agaricales	Agaricomycetes		Basidiomycota		67.9713	6.22567e-12	6/10000	True
GCA_002718315.1_ASM271831v1	Agaricales sp. HM26-F1	5	GCA_000350255.1_ASM35025v1	Rhizoctonia solani	Rhizoctonia	Ceratobasidiaceae	Cantharellales	Agaricomycetes		Basidiomycota		67.1035	6.86188e-10	5/10000	True
GCA_002718315.1_ASM271831v1	Agaricales sp. HM26-F1	6	GCA_001466705.2_ASM146670v2	Moniliophthora roreri	Moniliophthora	Marasmiaceae	Agaricales	Agaricomycetes		Basidiomycota		67.1035	1.95115e-09	5/10000	True
GCA_002718315.1_ASM271831v1	Agaricales sp. HM26-F1	7	GCA_002374595.1_ASM237459v1	Metschnikowia hamakuensis	Metschnikowia	Metschnikowiaceae	Serinales	Pichiomycetes		Ascomycota		67.1035	1.02429e-10	5/10000	True
GCA_002718315.1_ASM271831v1	Agaricales sp. HM26-F1	8	GCA_003314355.1_CUFNS_Cheung_Ptr_1.0	Pleurotus tuber-regium	Pleurotus	Pleurotaceae	Agaricales	Agaricomycetes		Basidiomycota		67.1035	5.62241e-10	5/10000	True
GCA_002718315.1_ASM271831v1	Agaricales sp. HM26-F1	9	GCA_005059865.1_ASM505986v1	Friedmanniomyces simplex	Friedmanniomyces	Teratosphaeriaceae	Mycosphaerellales	Dothideomycetes		Ascomycota		67.1035	7.45558e-10	5/10000	True
GCA_002718315.1_ASM271831v1	Agaricales sp. HM26-F1	10	GCA_014058305.1_ASM1405830v1	Pleurotus tuber-regium	Pleurotus	Pleurotaceae	Agaricales	Agaricomycetes		Basidiomycota		67.1035	6.88632e-10	5/10000	True
GCA_985805875.1_idMegDoli1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 NHMUK015059140	1	GCA_985568015.1_idNerComm1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 Ox002245		Amblyosporidae				Microsporidia		98.2810	0	5349/10000	True
GCA_985805875.1_idMegDoli1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 NHMUK015059140	2	GCA_985568185.1_iuLoeVari1.microsporidian_1.hap2.1	Amblyosporidae sp. gmOTU1 Ox002633		Amblyosporidae				Microsporidia		96.7510	0	3382/10000	True
GCA_985805875.1_idMegDoli1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 NHMUK015059140	3	GCA_016946835.1_ASM1694683v1	Neocallimastix lanati	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		71.2691	1.77304e-21	12/10000	True
GCA_985805875.1_idMegDoli1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 NHMUK015059140	4	GCA_002104975.1_Neocallimastix_sp._G1_v1.0	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		70.8553	1.94411e-19	11/10000	True
GCA_985805875.1_idMegDoli1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 NHMUK015059140	5	GCA_027248345.1_ASM2724834v1	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		70.8553	1.34431e-20	11/10000	True
GCA_985805875.1_idMegDoli1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 NHMUK015059140	6	GCA_027248785.1_ASM2724878v1	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		70.8553	1.11272e-20	11/10000	True
GCA_985805875.1_idMegDoli1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 NHMUK015059140	7	GCA_027248925.1_ASM2724892v1	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		70.8553	2.41525e-21	11/10000	True
GCA_985805875.1_idMegDoli1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 NHMUK015059140	8	GCA_050613775.1_Neocon1	Neocallimastix sp. constans	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		70.8553	1.80021e-19	11/10000	True
GCA_985805875.1_idMegDoli1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 NHMUK015059140	9	GCA_003724095.1_ASM372409v1	Austropuccinia psidii	Austropuccinia	Sphaerophragmiaceae	Pucciniales	Pucciniomycetes		Basidiomycota		70.4019	1.65254e-16	10/10000	True
GCA_985805875.1_idMegDoli1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 NHMUK015059140	10	GCA_027248385.1_ASM2724838v1	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		70.4019	2.14832e-18	10/10000	True
GCA_985568015.1_idNerComm1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 Ox002245	1	GCA_985805875.1_idMegDoli1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 NHMUK015059140		Amblyosporidae				Microsporidia		98.2810	0	5349/10000	True
GCA_985568015.1_idNerComm1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 Ox002245	2	GCA_985568185.1_iuLoeVari1.microsporidian_1.hap2.1	Amblyosporidae sp. gmOTU1 Ox002633		Amblyosporidae				Microsporidia		96.5942	0	3237/10000	True
GCA_985568015.1_idNerComm1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 Ox002245	3	GCA_023646395.1_KEW_Xsp1	Xanthoria sp. 1 TBL-2021	Xanthoria	Teloschistaceae	Teloschistales	Lecanoromycetes		Ascomycota		68.7048	3.61891e-15	7/10000	True
GCA_985568015.1_idNerComm1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 Ox002245	4	GCA_027248425.1_ASM2724842v1	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		68.7048	3.62637e-15	7/10000	True
GCA_985568015.1_idNerComm1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 Ox002245	5	GCA_027248605.1_ASM2724860v1	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		68.7048	2.68399e-15	7/10000	True
GCA_985568015.1_idNerComm1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 Ox002245	6	GCA_946474995.1_fwild_a	Funneliformis geosporum	Funneliformis	Glomeraceae	Glomerales	Glomeromycetes		Glomeromycota		68.7048	1.06351e-14	7/10000	True
GCA_985568015.1_idNerComm1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 Ox002245	7	GCA_946475005.1_fwild_b	Funneliformis geosporum	Funneliformis	Glomeraceae	Glomerales	Glomeromycetes		Glomeromycota		68.7048	1.05054e-14	7/10000	True
GCA_985568015.1_idNerComm1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 Ox002245	8	GCA_964256015.1_public_SRR11456923_metabat2_merged.0	Peltigera hydrothyria	Peltigera	Peltigeraceae	Peltigerales	Lecanoromycetes		Ascomycota		68.7048	1.15594e-14	7/10000	True
GCA_985568015.1_idNerComm1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 Ox002245	9	GCA_001593205.1_ASM159320v1	Rhizophagus irregularis	Rhizophagus	Glomeraceae	Glomerales	Glomeromycetes		Glomeromycota		67.9713	2.25278e-12	6/10000	True
GCA_985568015.1_idNerComm1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 Ox002245	10	GCA_003724095.1_ASM372409v1	Austropuccinia psidii	Austropuccinia	Sphaerophragmiaceae	Pucciniales	Pucciniomycetes		Basidiomycota		67.9713	4.4701e-12	6/10000	True
GCA_985568185.1_iuLoeVari1.microsporidian_1.hap2.1	Amblyosporidae sp. gmOTU1 Ox002633	1	GCA_985805875.1_idMegDoli1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 NHMUK015059140		Amblyosporidae				Microsporidia		96.7510	0	3382/10000	True
GCA_985568185.1_iuLoeVari1.microsporidian_1.hap2.1	Amblyosporidae sp. gmOTU1 Ox002633	2	GCA_985568015.1_idNerComm1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 Ox002245		Amblyosporidae				Microsporidia		96.5942	0	3237/10000	True
GCA_985568185.1_iuLoeVari1.microsporidian_1.hap2.1	Amblyosporidae sp. gmOTU1 Ox002633	3	GCA_027248605.1_ASM2724860v1	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		68.7048	2.23534e-16	7/10000	True
GCA_985568185.1_iuLoeVari1.microsporidian_1.hap2.1	Amblyosporidae sp. gmOTU1 Ox002633	4	GCA_984766085.1_idDelPlat3.microsporidian_1.1_alternate_haplotypes	Amblyosporidae sp. gmOTU2 SAN22000470		Amblyosporidae				Microsporidia		68.7048	9.86864e-19	7/10000	True
GCA_985568185.1_iuLoeVari1.microsporidian_1.hap2.1	Amblyosporidae sp. gmOTU1 Ox002633	5	GCA_985568025.1_idDelPlat5.microsporidian_1.1_alternate_haplotypes	Amblyosporidae sp. gmOTU2 SAN22000478		Amblyosporidae				Microsporidia		68.7048	3.25286e-18	7/10000	True
GCA_985568185.1_iuLoeVari1.microsporidian_1.hap2.1	Amblyosporidae sp. gmOTU1 Ox002633	6	GCA_027248425.1_ASM2724842v1	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		67.9713	9.51812e-14	6/10000	True
GCA_985568185.1_iuLoeVari1.microsporidian_1.hap2.1	Amblyosporidae sp. gmOTU1 Ox002633	7	GCA_027248925.1_ASM2724892v1	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		67.9713	1.11614e-13	6/10000	True
GCA_985568185.1_iuLoeVari1.microsporidian_1.hap2.1	Amblyosporidae sp. gmOTU1 Ox002633	8	GCA_985568115.1_idDelPlat4.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000475		Amblyosporidae				Microsporidia		67.9713	5.01279e-15	6/10000	True
GCA_985568185.1_iuLoeVari1.microsporidian_1.hap2.1	Amblyosporidae sp. gmOTU1 Ox002633	9	GCA_985809255.1_idLucSpea1.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000477		Amblyosporidae				Microsporidia		67.9713	7.59963e-15	6/10000	True
GCA_985568185.1_iuLoeVari1.microsporidian_1.hap2.1	Amblyosporidae sp. gmOTU1 Ox002633	10	GCF_000349005.2_Pneumo_murina_B123_V4	Pneumocystis murina	Pneumocystis	Pneumocystaceae	Pneumocystales	Pneumocystomycetes		Ascomycota		67.9713	1.43229e-15	6/10000	True
GCA_986199865.1_ilAceEphe1.microsporidian_1.1	Amblyosporidae sp. gmOTU10 Ox001727	1	GCA_027248365.1_ASM2724836v1	Piromyces sp.	Piromyces	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		70.8553	3.90535e-23	11/10000	True
GCA_986199865.1_ilAceEphe1.microsporidian_1.1	Amblyosporidae sp. gmOTU10 Ox001727	2	GCA_027248865.1_ASM2724886v1	Piromyces sp.	Piromyces	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		70.8553	5.44982e-23	11/10000	True
GCA_986199865.1_ilAceEphe1.microsporidian_1.1	Amblyosporidae sp. gmOTU10 Ox001727	3	GCA_002104945.1_Piromyces_sp._finnis_v3.0	Piromyces finnis	Piromyces	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		70.4019	7.98204e-21	10/10000	True
GCA_986199865.1_ilAceEphe1.microsporidian_1.1	Amblyosporidae sp. gmOTU10 Ox001727	4	GCA_003086735.1_ASM308673v1	Smittium simulii	Smittium	Legeriomycetaceae	Harpellales	Harpellomycetes		Kickxellomycota		70.4019	3.08109e-21	10/10000	True
GCA_986199865.1_ilAceEphe1.microsporidian_1.1	Amblyosporidae sp. gmOTU10 Ox001727	5	GCA_017871115.1_ASM1787111v1	Cunninghamella blakesleeana	Cunninghamella	Cunninghamellaceae	Mucorales	Mucoromycetes		Mucoromycota		70.4019	7.6196e-22	10/10000	True
GCA_986199865.1_ilAceEphe1.microsporidian_1.1	Amblyosporidae sp. gmOTU10 Ox001727	6	GCA_027248345.1_ASM2724834v1	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		70.4019	2.85297e-20	10/10000	True
GCA_986199865.1_ilAceEphe1.microsporidian_1.1	Amblyosporidae sp. gmOTU10 Ox001727	7	GCA_027248965.1_ASM2724896v1	Piromyces sp.	Piromyces	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		70.4019	8.77832e-21	10/10000	True
GCA_986199865.1_ilAceEphe1.microsporidian_1.1	Amblyosporidae sp. gmOTU10 Ox001727	8	GCA_050947565.1_ASM5094756v1	Hanseniaspora valbyensis	Hanseniaspora	Saccharomycodaceae	Saccharomycodales	Saccharomycetes		Ascomycota		70.4019	1.27469e-24	10/10000	True
GCA_986199865.1_ilAceEphe1.microsporidian_1.1	Amblyosporidae sp. gmOTU10 Ox001727	9	GCA_021464405.1_ASM2146440v1	Rhizophagus sp. LPA8_3_AMF	Rhizophagus	Glomeraceae	Glomerales	Glomeromycetes		Glomeromycota		69.9006	9.41584e-18	9/10000	True
GCA_986199865.1_ilAceEphe1.microsporidian_1.1	Amblyosporidae sp. gmOTU10 Ox001727	10	GCA_027248385.1_ASM2724838v1	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		69.9006	6.04084e-18	9/10000	True
GCA_984766085.1_idDelPlat3.microsporidian_1.1_alternate_haplotypes	Amblyosporidae sp. gmOTU2 SAN22000470	1	GCA_985568025.1_idDelPlat5.microsporidian_1.1_alternate_haplotypes	Amblyosporidae sp. gmOTU2 SAN22000478		Amblyosporidae				Microsporidia		98.6061	0	5952/10000	True
GCA_984766085.1_idDelPlat3.microsporidian_1.1_alternate_haplotypes	Amblyosporidae sp. gmOTU2 SAN22000470	2	GCA_985568205.1_idTanUsma1.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000472		Amblyosporidae				Microsporidia		97.9023	0	4746/10000	True
GCA_984766085.1_idDelPlat3.microsporidian_1.1_alternate_haplotypes	Amblyosporidae sp. gmOTU2 SAN22000470	3	GCA_985809255.1_idLucSpea1.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000477		Amblyosporidae				Microsporidia		97.8319	0	4644/10000	True
GCA_984766085.1_idDelPlat3.microsporidian_1.1_alternate_haplotypes	Amblyosporidae sp. gmOTU2 SAN22000470	4	GCA_985568115.1_idDelPlat4.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000475		Amblyosporidae				Microsporidia		97.7723	0	4560/10000	True
GCA_984766085.1_idDelPlat3.microsporidian_1.1_alternate_haplotypes	Amblyosporidae sp. gmOTU2 SAN22000470	5	GCA_985568185.1_iuLoeVari1.microsporidian_1.hap2.1	Amblyosporidae sp. gmOTU1 Ox002633		Amblyosporidae				Microsporidia		68.7048	9.86864e-19	7/10000	True
GCA_984766085.1_idDelPlat3.microsporidian_1.1_alternate_haplotypes	Amblyosporidae sp. gmOTU2 SAN22000470	6	GCA_985805875.1_idMegDoli1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 NHMUK015059140		Amblyosporidae				Microsporidia		68.7048	1.16491e-17	7/10000	True
GCA_984766085.1_idDelPlat3.microsporidian_1.1_alternate_haplotypes	Amblyosporidae sp. gmOTU2 SAN22000470	7	GCA_027248525.1_ASM2724852v1	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		67.9713	6.8578e-15	6/10000	True
GCA_984766085.1_idDelPlat3.microsporidian_1.1_alternate_haplotypes	Amblyosporidae sp. gmOTU2 SAN22000470	8	GCA_027248625.1_ASM2724862v1	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		67.9713	7.72337e-15	6/10000	True
GCA_984766085.1_idDelPlat3.microsporidian_1.1_alternate_haplotypes	Amblyosporidae sp. gmOTU2 SAN22000470	9	GCA_027248765.1_ASM2724876v1	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		67.9713	6.9843e-15	6/10000	True
GCA_984766085.1_idDelPlat3.microsporidian_1.1_alternate_haplotypes	Amblyosporidae sp. gmOTU2 SAN22000470	10	GCA_985568015.1_idNerComm1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 Ox002245		Amblyosporidae				Microsporidia		67.9713	1.85562e-15	6/10000	True
GCA_985568205.1_idTanUsma1.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000472	1	GCA_985568115.1_idDelPlat4.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000475		Amblyosporidae				Microsporidia		99.4903	0	8157/10000	True
GCA_985568205.1_idTanUsma1.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000472	2	GCA_985809255.1_idLucSpea1.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000477		Amblyosporidae				Microsporidia		99.3745	0	7808/10000	True
GCA_985568205.1_idTanUsma1.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000472	3	GCA_985568025.1_idDelPlat5.microsporidian_1.1_alternate_haplotypes	Amblyosporidae sp. gmOTU2 SAN22000478		Amblyosporidae				Microsporidia		98.6206	0	5981/10000	True
GCA_985568205.1_idTanUsma1.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000472	4	GCA_984766085.1_idDelPlat3.microsporidian_1.1_alternate_haplotypes	Amblyosporidae sp. gmOTU2 SAN22000470		Amblyosporidae				Microsporidia		97.9023	0	4746/10000	True
GCA_985568205.1_idTanUsma1.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000472	5	GCA_027248525.1_ASM2724852v1	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		69.9006	4.16097e-21	9/10000	True
GCA_985568205.1_idTanUsma1.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000472	6	GCA_027248625.1_ASM2724862v1	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		69.9006	5.6758e-21	9/10000	True
GCA_985568205.1_idTanUsma1.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000472	7	GCA_985805875.1_idMegDoli1.microsporidian_1.1	Amblyosporidae sp. gmOTU1 NHMUK015059140		Amblyosporidae				Microsporidia		69.9006	3.37811e-21	9/10000	True
GCA_985568205.1_idTanUsma1.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000472	8	GCA_027248345.1_ASM2724834v1	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		69.3402	2.28236e-18	8/10000	True
GCA_985568205.1_idTanUsma1.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000472	9	GCA_027248385.1_ASM2724838v1	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		69.3402	2.34615e-18	8/10000	True
GCA_985568205.1_idTanUsma1.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000472	10	GCA_027248585.1_ASM2724858v1	Neocallimastix californiae	Neocallimastix	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes		Neocallimastigomycota		69.3402	1.98765e-18	8/10000	True
GCA_985568115.1_idDelPlat4.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000475	1	GCA_985568205.1_idTanUsma1.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000472		Amblyosporidae				Microsporidia		99.4903	0	8157/10000	True
GCA_985568115.1_idDelPlat4.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000475	2	GCA_985809255.1_idLucSpea1.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000477		Amblyosporidae				Microsporidia		99.3044	0	7607/10000	True
GCA_985568115.1_idDelPlat4.microsporidian_1.1	Amblyosporidae sp. gmOTU2 SAN22000475	3	GCA_985568025.1_idDelPlat5.microsporidian_1.1_alternate_haplotypes	Amblyosporidae sp. gmOTU2 SAN22000478		Amblyosporidae				Microsporidia		98.5900	0	5920/10000	True
